driver_id,total_fare,avg_distance
7,572.29,27.049999999999994
51,505.64,19.618333333333336
15,275.52,35.5125
54,485.34,31.385
11,527.63,30.212857142857143
29,490.9799999999999,17.082
69,221.07999999999998,30.796666666666667
42,511.92999999999995,27.351666666666663
87,253.42000000000002,19.48333333333333
73,407.41999999999996,33.8175
64,57.400000000000006,26.135
3,460.06000000000006,25.266250000000003
30,616.1600000000001,23.224999999999998
34,224.48999999999998,19.993333333333336
59,396.35,26.521666666666665
8,239.73,35.21666666666666
22,245.15,26.80666666666667
28,743.1500000000001,23.362500000000004
85,88.63,27.215
16,218.5,23.560000000000002
35,108.61000000000001,7.455
52,340.34999999999997,20.323333333333334
71,156.54,21.59
98,517.65,29.393333333333334
47,223.71,24.294999999999998
99,240.29,24.825000000000003
43,715.7500000000001,24.811999999999998
5,144.01,25.506666666666664
31,65.68,34.03
100,294.42,29.05
18,559.49,27.42875
70,824.21,25.223333333333333
61,685.26,24.468
27,348.26,27.794999999999998
75,510.7099999999999,23.445
17,302.82000000000005,28.649999999999995
26,630.13,23.288749999999997
46,1134.12,28.10636363636364
78,448.42,30.412499999999998
77,243.32999999999998,30.336666666666662
89,396.66,36.05166666666667
6,435.79999999999995,25.668333333333333
60,212.95000000000002,23.212
68,260.69,12.979999999999999
90,452.39,14.535999999999998
19,338.55,14.684999999999999
23,359.15,23.255714285714284
41,408.53,22.675
55,247.53000000000003,27.75666666666667
93,145.65,25.119999999999994
95,344.82,21.84
40,360.43,24.701666666666668
38,318.58,22.233333333333334
25,103.75999999999999,28.417499999999997
44,215.81,39.25
82,430.78000000000003,19.19
53,182.67000000000002,21.343333333333334
92,145.25,40.03
86,515.29,27.4625
58,142.1,22.095
81,411.76,20.369999999999997
33,341.78999999999996,28.972
48,132.96,20.21
97,297.25,36.655
67,399.17999999999995,23.625
84,75.75999999999999,17.195
79,299.44,40.01
9,233.47000000000003,34.5
24,51.64,27.48
32,661.4699999999999,22.1775
88,586.27,28.155
1,27.650000000000002,20.7
20,331.37,35.597500000000004
56,447.0799999999999,26.535
36,325.35999999999996,30.007499999999997
10,440.17,22.2725
37,219.88,17.695
49,360.69,23.05
63,697.64,29.464999999999996
65,116.13,24.325
4,145.06,37.21666666666667
39,477.91,25.285
62,300.61,36.775
12,301.90999999999997,25.313333333333333
83,407.78,22.444
13,325.38000000000005,27.118571428571432
14,250.85000000000002,25.112499999999997
21,276.21,28.772000000000002
66,139.05,18.509999999999998
91,332.67,29.72666666666667
94,359.44,19.1625
72,625.24,21.868571428571432
74,162.49,34.63
76,599.3999999999999,16.358888888888888
2,178.41,18.884999999999998
80,499.49,25.448333333333327
50,418.97999999999996,17.646666666666665
45,26.6,40.97
57,519.25,16.738750000000003
